label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0116,-0.0195,0.9930,0.3662,0.0610,0.0610
unlabeled,0.0121,-0.0201,0.9945,0.3052,0.0610,0.1221
unlabeled,0.0122,-0.0199,0.9943,0.1831,-0.1831,0.3052
unlabeled,0.0122,-0.0199,0.9918,0.1221,-0.2441,0.3052
unlabeled,0.0125,-0.0197,0.9928,0.1221,-0.3662,0.3052
unlabeled,0.0121,-0.0217,0.9940,0.1831,-0.4272,0.3662
unlabeled,0.0117,-0.0215,0.9932,0.2441,-0.3662,0.3662
unlabeled,0.0112,-0.0209,0.9916,0.1221,-0.3662,0.2441
unlabeled,0.0103,-0.0187,0.9949,0.1831,-0.4272,0.1831
unlabeled,0.0112,-0.0186,0.9940,0.2441,-0.3052,0.1831
unlabeled,0.0121,-0.0205,0.9952,0.2441,-0.1831,0.1221
unlabeled,0.0122,-0.0220,0.9951,0.3662,-0.1221,0.0000
unlabeled,0.0117,-0.0210,0.9939,0.4272,-0.1221,-0.0610
unlabeled,0.0117,-0.0200,0.9938,0.3052,-0.1831,-0.0610
unlabeled,0.0114,-0.0200,0.9930,0.3052,-0.1831,0.0000
unlabeled,0.0111,-0.0198,0.9943,0.2441,-0.0610,0.1221
unlabeled,0.0094,-0.0193,0.9937,0.1831,0.0000,0.1221
unlabeled,0.0085,-0.0194,0.9939,0.1831,0.0610,0.1831
unlabeled,0.0110,-0.0197,0.9935,0.1831,0.0000,0.1831
unlabeled,0.0117,-0.0204,0.9932,0.2441,0.0610,0.1831
unlabeled,0.0126,-0.0208,0.9938,0.3052,0.0610,0.2441
unlabeled,0.0120,-0.0205,0.9944,0.3052,-0.0610,0.1221
unlabeled,0.0107,-0.0208,0.9944,0.3052,-0.1831,0.0000
unlabeled,0.0104,-0.0199,0.9923,0.3662,-0.1831,0.1221
unlabeled,0.0110,-0.0197,0.9934,0.3052,-0.0610,0.2441
unlabeled,0.0117,-0.0195,0.9940,0.3052,-0.0610,0.3052
unlabeled,0.0123,-0.0199,0.9946,0.3662,0.0000,0.3052
unlabeled,0.0114,-0.0212,0.9933,0.3662,0.0000,0.1831
unlabeled,0.0112,-0.0219,0.9929,0.3052,0.0000,0.0610
unlabeled,0.0114,-0.0210,0.9939,0.2441,0.0000,0.0000
unlabeled,0.0114,-0.0195,0.9937,0.2441,0.0000,0.0610
unlabeled,0.0104,-0.0190,0.9941,0.3662,-0.0610,0.0610
unlabeled,0.0105,-0.0204,0.9939,0.4883,-0.0610,0.1221
unlabeled,0.0103,-0.0205,0.9935,0.4272,-0.1221,0.0000
unlabeled,0.0106,-0.0219,0.9937,0.2441,-0.1221,-0.3052
unlabeled,0.0106,-0.0217,0.9939,0.2441,-0.0610,-0.3662
unlabeled,0.0111,-0.0200,0.9937,0.2441,0.0000,-0.3052
unlabeled,0.0106,-0.0200,0.9938,0.3052,0.0000,-0.3052
unlabeled,0.0104,-0.0226,0.9945,0.3052,0.0610,-0.2441
unlabeled,0.0109,-0.0211,0.9946,0.3052,-0.0610,0.0000
unlabeled,0.0105,-0.0192,0.9938,0.3052,-0.1831,0.0610
unlabeled,0.0109,-0.0197,0.9941,0.4883,-0.1221,0.0610
unlabeled,0.0101,-0.0219,0.9952,0.4272,-0.0610,0.0000
unlabeled,0.0094,-0.0222,0.9946,0.1221,0.0000,0.1831
unlabeled,0.0098,-0.0214,0.9932,0.0610,0.0000,0.2441
unlabeled,0.0111,-0.0203,0.9935,0.0610,0.1221,0.1221
unlabeled,0.0118,-0.0187,0.9938,0.0610,0.1831,0.1221
unlabeled,0.0107,-0.0188,0.9939,0.0610,0.2441,0.3052
unlabeled,0.0114,-0.0190,0.9946,0.0610,0.1831,0.3052
unlabeled,0.0112,-0.0199,0.9929,0.1831,0.0000,0.1831
unlabeled,0.0155,-0.0154,0.9924,0.1831,-0.1221,0.1221
unlabeled,0.0092,-0.0238,0.9930,0.4272,-0.1221,0.4272
unlabeled,0.0103,-0.0209,0.9932,0.6104,-0.3662,-0.4272
unlabeled,0.0100,-0.0216,0.9937,0.6104,-0.4883,-1.6479
unlabeled,0.0094,-0.0234,0.9940,0.3052,-0.3662,-1.0986
unlabeled,0.0098,-0.0216,0.9938,0.0610,-0.3052,-0.4883
unlabeled,0.0099,-0.0210,0.9932,-0.3052,-0.1221,-0.0610
unlabeled,0.0110,-0.0204,0.9935,-0.4272,-0.1221,0.1221
unlabeled,0.0116,-0.0209,0.9933,-0.5493,-0.3052,0.7935
unlabeled,0.0104,-0.0195,0.9937,-0.4272,-0.3662,0.9155
unlabeled,0.0103,-0.0178,0.9944,-0.1221,-0.3662,0.3052
unlabeled,0.0104,-0.0176,0.9938,0.3052,-0.1831,-0.1221
unlabeled,0.0099,-0.0186,0.9935,0.3052,-0.0610,-0.0610
unlabeled,0.0100,-0.0186,0.9939,0.3052,0.0610,-0.0610
unlabeled,0.0101,-0.0198,0.9939,0.3052,0.1221,-0.1221
unlabeled,0.0105,-0.0206,0.9941,0.3052,0.1221,-0.3662
unlabeled,0.0109,-0.0200,0.9935,0.1831,0.0610,-0.4883
unlabeled,0.0114,-0.0182,0.9934,0.1831,0.0610,-0.4883
unlabeled,0.0109,-0.0186,0.9941,0.2441,0.0610,-0.3052
unlabeled,0.0104,-0.0197,0.9948,0.1831,0.0000,-0.1831
unlabeled,0.0096,-0.0197,0.9943,0.1831,-0.1221,0.1831
unlabeled,0.0109,-0.0193,0.9935,0.1831,-0.0610,0.3052
unlabeled,0.0112,-0.0194,0.9941,0.1221,0.0000,0.4272
unlabeled,0.0109,-0.0198,0.9940,0.1221,0.0000,0.4272
unlabeled,0.0106,-0.0199,0.9938,0.1831,0.0000,0.3052
unlabeled,0.0116,-0.0209,0.9929,0.1831,0.0000,0.3052
unlabeled,0.0107,-0.0210,0.9926,0.1831,0.0610,0.1831
unlabeled,0.0099,-0.0194,0.9940,0.1221,0.1221,0.1831
unlabeled,0.0105,-0.0187,0.9938,0.1831,0.0000,0.2441
unlabeled,0.0106,-0.0182,0.9941,0.1831,-0.0610,0.1831
unlabeled,0.0112,-0.0192,0.9939,0.2441,-0.0610,0.1221
unlabeled,0.0111,-0.0195,0.9940,0.1831,0.0000,0.1221
unlabeled,0.0106,-0.0192,0.9932,0.1831,-0.1221,0.0610
unlabeled,0.0115,-0.0194,0.9933,0.1831,-0.0610,0.0000
unlabeled,0.0105,-0.0187,0.9949,0.1831,0.0000,-0.0610
unlabeled,0.0104,-0.0183,0.9949,0.1831,0.0610,-0.0610
unlabeled,0.0100,-0.0193,0.9944,0.3052,0.0000,-0.0610
unlabeled,0.0098,-0.0186,0.9935,0.3662,-0.0610,-0.0610
unlabeled,0.0101,-0.0192,0.9937,0.3052,0.0000,-0.0610
unlabeled,0.0111,-0.0203,0.9939,0.2441,0.0000,0.0610
unlabeled,0.0114,-0.0201,0.9943,0.2441,0.0610,0.1221
unlabeled,0.0110,-0.0198,0.9944,0.2441,0.0610,0.0000
unlabeled,0.0114,-0.0194,0.9940,0.2441,0.0000,0.0000
unlabeled,0.0100,-0.0197,0.9940,0.2441,-0.0610,0.1221
unlabeled,0.0092,-0.0195,0.9935,0.2441,0.0000,0.0610
unlabeled,0.0107,-0.0182,0.9946,0.3052,0.0000,0.0000
unlabeled,0.0112,-0.0194,0.9955,0.2441,0.0000,0.0610
unlabeled,0.0099,-0.0204,0.9928,0.1831,0.0000,0.0610
unlabeled,0.0105,-0.0205,0.9917,0.3052,-0.0610,0.0000
unlabeled,0.0111,-0.0194,0.9937,0.2441,-0.0610,0.0000
unlabeled,0.0109,-0.0186,0.9946,0.1221,0.0000,0.0610
unlabeled,0.0104,-0.0181,0.9937,0.1221,0.0610,0.0610
unlabeled,0.0095,-0.0188,0.9928,0.2441,-0.0610,0.0610
unlabeled,0.0107,-0.0199,0.9929,0.2441,-0.1221,0.0610
unlabeled,0.0112,-0.0201,0.9933,0.3662,-0.1221,0.0000
unlabeled,0.0112,-0.0192,0.9933,0.3052,-0.0610,0.0000
unlabeled,0.0109,-0.0198,0.9930,0.2441,0.0000,0.0000
unlabeled,0.0121,-0.0200,0.9933,0.2441,0.0000,0.0000
unlabeled,0.0116,-0.0193,0.9937,0.3052,-0.0610,-0.0610
unlabeled,0.0101,-0.0184,0.9935,0.3052,-0.0610,-0.0610
unlabeled,0.0107,-0.0188,0.9944,0.2441,-0.1221,-0.1221
unlabeled,0.0109,-0.0188,0.9934,0.3052,-0.1831,-0.1221
unlabeled,0.0105,-0.0194,0.9928,0.2441,-0.0610,0.0000
unlabeled,0.0105,-0.0199,0.9934,0.1831,0.0000,0.0610
unlabeled,0.0107,-0.0199,0.9927,0.1221,0.0000,0.0610
unlabeled,0.0111,-0.0189,0.9933,0.1831,0.0610,0.0610
unlabeled,0.0107,-0.0188,0.9951,0.2441,0.1221,0.0610
unlabeled,0.0109,-0.0186,0.9949,0.2441,0.0610,0.1221
unlabeled,0.0110,-0.0188,0.9939,0.1831,0.0000,0.1831
